address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"32-16 149 ST NEW YORK, NY 11354 ",32-16,149 ST,NEW YORK,NY,11354,-73.817508,40.769777,36,081,115900,2
"444 E 148 ST NEW YORK, NY 10455 ",444,E  148 ST,NEW YORK,NY,10455,-73.916539,40.814562,36,005,004300,2
"24-06 169 ST NEW YORK, NY 11357 ",24-06,169 ST,NEW YORK,NY,11357,-73.795545,40.775431,36,081,101700,2
"530 MEEKER AVE NEW YORK, NY 11222 ",530,MEEKER AVE,NEW YORK,NY,11222,-73.94324,40.72042,36,047,047700,1
"850 9 AVE NEW YORK, NY 10019 ",850,9 AVE,NEW YORK,NY,10019,-73.986348,40.766748,36,061,013900,5
"301 W 125 ST NEW YORK, NY 10027 ",301,W  125 ST,NEW YORK,NY,10027,-73.951447,40.810453,36,061,025700,1
"1801 PITKIN AVE NEW YORK, NY 11212 ",1801,PITKIN AVE,NEW YORK,NY,11212,-73.906487,40.67044,36,047,090800,1
"14 SANDGAP ST NEW YORK, NY 10312 ",14,SANDGAP ST,NEW YORK,NY,10312,-74.161407,40.528395,36,085,017600,2
"14 GAYNOR ST NEW YORK, NY 10309 ",14,GAYNOR ST,NEW YORK,NY,10309,-74.220082,40.524189,36,085,022601,4
"175 CHESTNUT AVE NEW YORK, NY 10305 ",175,CHESTNUT AVE,NEW YORK,NY,10305,-74.074206,40.615471,36,085,003600,1
"102-01 183 PL NEW YORK, NY 11423 ",102-01,183 PL,NEW YORK,NY,11423,-73.774056,40.706671,36,081,040400,2
"123-12 BENTON ST NEW YORK, NY 11413 ",123-12,BENTON ST,NEW YORK,NY,11413,-73.75571,40.682636,36,081,035200,1
"23-63 23 ST NEW YORK, NY 11105 ",23-63,23 ST,NEW YORK,NY,11105,-73.919514,40.776543,36,081,009700,2
"49 LOUIS ST NEW YORK, NY 10304 ",49,LOUIS ST,NEW YORK,NY,10304,-74.086549,40.630354,36,085,003300,1
"112-43 COLFAX ST NEW YORK, NY 11429 ",112-43,COLFAX ST,NEW YORK,NY,11429,-73.745344,40.704198,36,081,053601,2
"2268 HENDRICKSON ST NEW YORK, NY 11234 ",2268,HENDRICKSON ST,NEW YORK,NY,11234,-73.922232,40.608013,36,047,066200,1
