station,borough,trainno,equipment,equipmenttype,serving,ADA,outagedate,estimatedreturntoservice,reason,isupcomingoutage,ismaintenanceoutage
Bowling Green,,4/5,ES339,ES,lower mezzanine to upper mezzanine for Battery Pl & Broadway exit,N,04/01/2026 11:40:00 PM,04/02/2026 06:00:00 AM,Maintenance,N,N
Lexington Av/63 St,,F/M/Q,EL443,EL,63 St & 3 Av mezzanine to platforms for service in both directions.,Y,04/01/2026 11:45:00 PM,04/02/2026 06:00:00 AM,Maintenance,N,N
Smith-9 Sts,,F/G,ES348,ES,9th St & Smith St (NE corner) to intermediate mezzanine,N,04/01/2026 11:45:00 PM,04/02/2026 06:00:00 AM,Maintenance,N,N
125 St,,4/5/6,EL126,EL,Mezzanine to platforms for service in both directions,Y,04/01/2026 11:45:00 PM,04/02/2026 06:00:00 AM,Maintenance,N,N
Cortlandt St,,1,ES353,ES,north mezzanine to platform for uptown 1 service,N,04/01/2026 11:45:00 PM,04/02/2026 06:00:00 AM,Maintenance,N,N
Fulton St,,A/C/J/2/3/4/5/Z,EL716,EL,Transit Center concourse to uptown 4/5 platform and access to Brooklyn-bound J/Z platform and rest of complex,Y,04/01/2026 11:50:00 PM,04/02/2026 06:00:00 AM,Maintenance,N,N
Bleecker St,,B/D/F/M/6,EL332,EL,uptown 6 mezzanine to downtown B/D/F/M platform,Y,04/01/2026 11:50:00 PM,04/02/2026 06:00:00 AM,Maintenance,N,N
High St,,A/C,ES323,ES,lower mezzanine to upper mezzanine for Red Cross Pl & Adams St exit,N,04/01/2026 11:55:00 PM,04/02/2026 06:00:00 AM,Maintenance,N,N
181 St,,A,ES117,ES,upper mezzanine (181 St & Fort Washington Ave) to lower mezzanine,N,04/01/2026 11:55:00 PM,04/02/2026 06:00:00 AM,Inspection,N,N
Times Sq-42 St,,A/C/E/N/Q/R/W/1/2/3/7/S,EL233,EL,mezzanine to uptown 1/2/3 platform,Y,04/02/2026 12:00:00 AM,04/02/2026 06:00:00 AM,Inspection,N,N
Utica Av,,A/C,EL345,EL,mezzanine to Manhattan-bound platform,Y,04/02/2026 12:00:00 AM,04/02/2026 06:00:00 AM,Maintenance,N,N
Fulton St,,A/C/J/2/3/4/5/Z,EL719,EL,mezzanine (Nassau St) and Broad St-bound J/Z to A/C platform for service in both directions and access to rest of complex,Y,04/02/2026 12:20:00 AM,04/02/2026 06:00:00 AM,Inspection,N,N
Borough Hall,,R/2/3/4/5,EL774,EL,Mezzanine to Manhattan-bound 4/5 platform.,Y,04/02/2026 01:03:00 AM,04/02/2026 06:00:00 AM,Maintenance,N,N
34 St-Penn Station,,A/C/E,EL227,EL,Penn Station concourse to A platform for service in both directions,Y,04/02/2026 01:47:00 AM,04/02/2026 04:00:00 AM,Maintenance,N,N
34 St-Penn Station,,A/C/E,EL228,EL,Penn Station concourse to downtown C/E platform,Y,04/02/2026 04:00:00 AM,04/02/2026 06:00:00 AM,Maintenance,Y,N
125 St,,A/C/B/D,EL144,EL,mezzanine to uptown platform,Y,04/02/2026 09:00:00 AM,04/02/2026 03:00:00 PM,Repair,Y,N
Lexington Av/63 St,,F/M/Q,ES404,ES,intermediate mezzanine to upper mezzanine for Lexington Ave & 63 St exit,N,04/02/2026 10:00:00 AM,12/31/2026 11:59:00 PM,Capital Replacement,Y,N
3 Av-149 St,,2/5,EL129,EL,3rd Ave & 149 St (SW corner) to Bronx-bound platform,Y,04/02/2026 10:00:00 PM,04/03/2026 12:00:00 AM,Maintenance,Y,N
181 St,,A,EL517,EL,Mezzanine to platform for Inwood-207 St-bound service.,Y,04/02/2026 10:00:00 PM,04/03/2026 06:00:00 AM,Maintenance,Y,N
181 St,,A,EL518,EL,Mezzanine to platform for Downtown and Brooklyn-bound service.,Y,04/02/2026 10:00:00 PM,04/03/2026 06:00:00 AM,Maintenance,Y,N
3 Av-149 St,,2/5,EL130,EL,Melrose Ave & 149 St (NW corner) to Manhattan-bound platform,Y,04/03/2026 12:00:00 AM,04/03/2026 06:00:00 AM,Maintenance,Y,N
Atlantic Av-Barclays Ctr,,B/D/N/Q/R/2/3/4/5/LIRR,EL307,EL,mezzanine to B/Q platform for service in both directions,Y,04/03/2026 11:59:00 PM,09/30/2026 11:59:00 PM,Capital Replacement,Y,N
Atlantic Av-Barclays Ctr,,B/D/N/Q/R/2/3/4/5/LIRR,EL306,EL,Manhattan-bound 2/3 platform to mezzanine for access to rest of complex,Y,04/03/2026 11:59:00 PM,09/30/2026 11:59:00 PM,Capital Replacement,Y,N
