station,borough,trainno,equipment,equipmenttype,serving,ADA,outagedate,estimatedreturntoservice,reason,isupcomingoutage,ismaintenanceoutage
61 St-Woodside,,7/LIRR,ES448,ES,61 St & Roosevelt Ave (SE corner) to mezzanine,N,09/30/2024 12:05:00 PM,06/30/2026 11:59:00 PM,Capital Replacement,N,N
42St/Port Authority-Bus Terminal,,A/C/E/N/Q/R/W/1/2/3/7/S,EL290X,EL,intermediate landing to mezzanine for A/C/E service in both directions,Y,10/28/2024 06:26:00 AM,06/30/2026 10:00:00 PM,Repair,N,N
161 St-Yankee Stadium,,B/D/4,EL132,EL,B/D mezzanine to Woodlawn-bound 4 platform and mezzanine for Manhattan-bound 4 service,Y,11/06/2024 09:00:00 AM,06/30/2026 11:59:00 PM,Capital Replacement,N,N
161 St-Yankee Stadium,,B/D/4,EL133,EL,mezzanine to Manhattan-bound 4 platform,Y,11/06/2024 09:00:00 AM,06/30/2026 11:59:00 PM,Capital Replacement,N,N
Lexington Av/63 St,,F/M/Q,ES401,ES,Lexington Ave & 63 St (NW corner) to upper mezzanine,N,12/11/2024 11:00:00 PM,06/30/2026 11:59:00 PM,Capital Replacement,N,N
High St,,A/C,ES350,ES,lower mezzanine to upper mezzanine for Cadman Plaza West & Middagh St exit,N,08/11/2025 10:15:00 PM,06/30/2026 11:59:00 PM,Capital Replacement,N,N
Jackson Hts-Roosevelt Av,,E/F/M/R/7,EL421,EL,transfer mezzanine to Manhattan-bound E/F/M/R platform and mezzanine for access to Queens-bound E/F/M/R service,Y,10/27/2025 03:31:00 PM,06/30/2026 11:59:00 PM,Capital Replacement,N,N
Jackson Hts-Roosevelt Av,,E/F/M/R/7,EL422,EL,mezzanine to Forest Hills and Jamaica-bound E/F/M/R platform,Y,10/28/2025 11:20:00 PM,06/30/2026 11:59:00 PM,Capital Replacement,N,N
Lexington Av/63 St,,F/M/Q,ES409,ES,lower mezzanine (Lexington Ave & 63 St) to uptown Q and Queens-bound M platform,N,11/12/2025 08:00:00 PM,06/30/2026 11:59:00 PM,Capital Replacement,N,N
Lexington Av/63 St,,F/M/Q,ES410,ES,Uptown Q/Queens-bound M platform to lower mezzanine for 63 St/Lexington Av exit.,N,11/12/2025 08:00:00 PM,06/30/2026 11:57:00 PM,Capital Replacement,N,N
Park Place,,A/C/E/R/W/2/3,ES302,ES,mezzanine (Park Pl & Broadway) to 2/3 platform for service in both directions,N,11/20/2025 08:58:00 PM,07/31/2026 11:59:00 PM,Capital Replacement,N,N
Jamaica-179 St,,F,EL432,EL,mezzanine to Manhattan-bound platform,Y,11/21/2025 11:40:00 PM,07/31/2026 11:59:00 PM,Capital Replacement,N,N
Jamaica-179 St,,F,EL431,EL,179 Pl & Hillside Ave (SE corner) to mezzanine for Manhattan-bound service,Y,11/21/2025 11:40:00 PM,07/31/2026 11:59:00 PM,Capital Replacement,N,N
Jamaica-179 St,,F,EL433,EL,mezzanine to terminal platform,Y,11/21/2025 11:40:00 PM,07/31/2026 11:59:00 PM,Capital Replacement,N,N
Crown Hts-Utica Av,,3/4,EL323,EL,mezzanine (eastern entrance near Utica Ave) to platforms for service in both directions,Y,12/01/2025 10:14:00 PM,08/31/2026 11:59:00 PM,Capital Replacement,N,N
Crown Hts-Utica Av,,3/4,EL322,EL,Utica Ave & Eastern Pkwy to mezzanine for service in both directions,Y,12/01/2025 10:50:00 PM,08/31/2026 11:59:00 PM,Capital Replacement,N,N
Prospect Park,,B/Q/S,EL383,EL,Lincoln Rd & Ocean Ave (NE corner) to Brighton Beach and Coney Island-bound B/Q platform,Y,12/02/2025 11:08:00 PM,08/31/2026 11:59:00 PM,Capital Replacement,N,N
Prospect Park,,B/Q/S,EL382,EL,Lincoln Rd & Ocean Ave (NE corner) to platform for Manhattan-bound B/Q service and Franklin Shuttle,Y,12/02/2025 11:25:00 PM,08/31/2026 11:59:00 PM,Capital Replacement,N,N
Coney Island-Stillwell Av,,D/F/N/Q,EL701,EL,N platform to overpass for access to D platform,Y,12/08/2025 11:09:00 PM,07/31/2026 11:59:00 PM,Capital Replacement,N,N
5 Av/53 St,,E/F,ES242,ES,mezzanine (Madison Ave & 53 St) to downtown platform,N,12/16/2025 03:40:00 AM,10/31/2026 03:53:00 AM,Capital Replacement,N,N
72 St,,1/2/3,EL240,EL,Broadway (between 72 St & 73 St) to downtown platform,Y,12/17/2025 10:45:00 PM,07/31/2026 11:59:00 PM,Capital Replacement,N,N
72 St,,1/2/3,EL239,EL,Broadway (between 72 St & 73 St) to uptown platform,Y,12/18/2025 02:00:00 AM,07/31/2026 11:59:00 PM,Capital Replacement,N,N
Smith-9 Sts,,F/G,ES313,ES,intermediate mezzanine to 9th St & Smith St (NE corner),N,01/09/2026 11:17:00 PM,10/31/2026 11:59:00 PM,Capital Replacement,N,N
Smith-9 Sts,,F/G,ES314,ES,9th St & Smith St (NE corner) to intermediate mezzanine,N,01/09/2026 11:17:00 PM,10/31/2026 11:59:00 PM,Capital Replacement,N,N
21 St-Queensbridge,,F/M,ES422,ES,mezzanine to 21 St & 41 Ave (NE corner),N,01/14/2026 02:00:00 AM,08/31/2026 02:00:00 PM,Capital Replacement,N,N
21 St-Queensbridge,,F/M,ES421,ES,21 St & 41 Ave (NE corner) to mezzanine,N,01/14/2026 02:00:00 AM,08/31/2026 02:00:00 PM,Capital Replacement,N,N
Smith-9 Sts,,F/G,ES316,ES,intermediate mezzanine to upper mezzanine,N,01/17/2026 08:50:00 AM,10/31/2026 11:59:00 PM,Capital Replacement,N,N
Smith-9 Sts,,F/G,ES315,ES,upper mezzanine to intermediate mezzanine,N,01/17/2026 08:50:00 AM,10/31/2026 11:59:00 PM,Capital Replacement,N,N
Flushing-Main St,,7,EL414,EL,East of Main St & Roosevelt Ave to Manhattan-bound platform.,Y,02/02/2026 11:28:00 PM,07/31/2026 11:59:00 PM,Capital Replacement,N,N
Lexington Av/63 St,,F/M/Q,ES408,ES,downtown platform to lower mezzanine for Lexington Ave & 63 St exit,N,03/12/2026 06:36:00 AM,11/30/2026 10:59:00 PM,Capital Replacement,N,N
Lexington Av/63 St,,F/M/Q,ES406,ES,lower mezzanine to intermediate mezzanine for Lexington Ave & 63 St exit,N,03/26/2026 05:00:00 AM,11/30/2026 11:59:00 PM,Capital Replacement,N,N
Atlantic Av-Barclays Ctr,,B/D/N/Q/R/2/3/4/5/LIRR,EL307,EL,mezzanine to B/Q platform for service in both directions,Y,04/04/2026 07:30:00 AM,09/30/2026 11:59:00 PM,Capital Replacement,N,N
Lexington Av/63 St,,F/M/Q,ES404,ES,intermediate mezzanine to upper mezzanine for Lexington Ave & 63 St exit,N,04/04/2026 08:02:00 AM,12/31/2026 11:59:00 PM,Capital Replacement,N,N
Atlantic Av-Barclays Ctr,,B/D/N/Q/R/2/3/4/5/LIRR,EL306,EL,Manhattan-bound 2/3 platform to mezzanine for access to rest of complex,Y,04/04/2026 08:30:00 AM,09/30/2026 11:59:00 PM,Capital Replacement,N,N
5 Av/53 St,,E/F,ES241,ES,downtown platform to mezzanine for Madison Ave & 53 St exit,N,04/20/2026 11:10:00 PM,12/31/2026 11:59:00 PM,Capital Replacement,N,N
51 St,,E/F/6,EL202,EL,Downtown 6 platform to underpass for access to uptown 6 and E/F service in both directions,Y,04/26/2026 05:46:00 AM,06/15/2026 03:00:00 PM,Repair,N,N
Lexington Av/53 St,,E/F/6,ES254X,ES,E/F platform to mezzanine for 6 service and 53 St & Lexington Av exit.,N,05/21/2026 07:10:00 AM,06/22/2026 08:00:00 AM,Repair,N,N
Jamaica Center-Parsons/Archer,,E/J/Z,ES438,ES,mezzanine to Parsons Blvd & Archer Ave (SW corner),N,05/28/2026 06:45:00 AM,06/30/2026 11:59:00 PM,Station is Under Rehabilitation,N,N
Atlantic Av-Barclays Ctr,,B/D/N/Q/R/2/3/4/5/LIRR,ES359X,ES,B/Q mezzanine to Barclays Center plaza (SE corner of Atlantic Ave & Flatbush Ave),N,05/28/2026 08:56:00 PM,06/15/2026 09:00:00 PM,Repair,N,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,ES258X,ES,14 St & 4th Ave (NE corner) to mezzanine for 4/5/6/L service and access to N/Q/R/W,N,06/08/2026 04:38:00 PM,06/15/2026 05:00:00 PM,Repair,N,N
161 St-Yankee Stadium,,B/D/4,EL131,EL,161 St & River Ave (NE corner) to mezzanine to reach 4/B/D service in both directions,Y,06/10/2026 01:52:00 PM,06/13/2026 10:00:00 PM,Con Edison Power Issue,N,N
34 St-Hudson Yards,,7,ES622,ES,upper mezzanine (between 33 St & 34 St) to lower mezzanine,N,06/12/2026 04:40:00 AM,06/13/2026 10:00:00 PM,Planned Work,N,N
Court Sq,,E/F/G/7,ES461X,ES,G lower mezzanine to upper mezzanine for 7 service and Jackson Ave & 23rd St exit,N,06/12/2026 08:18:00 PM,06/15/2026 09:00:00 PM,Repair,N,N
Sutphin Blvd-Archer Av-JFK Airport,,E/J/Z/LIRR,ES432X,ES,LIRR and AirTrain Terminal (SW corner of Sutphin Blvd & Archer Ave) to mezzanine for E/J/Z service,N,06/13/2026 07:09:00 AM,06/15/2026 08:00:00 AM,Repair,N,N
Sutphin Blvd-Archer Av-JFK Airport,,E/J/Z/LIRR,ES433X,ES,mezzanine to Sutphin Blvd & Archer Ave (SW corner) for connection to LIRR and AirTrain,N,06/13/2026 07:09:00 AM,06/15/2026 08:00:00 AM,Repair,N,N
Atlantic Av-Barclays Ctr,,B/D/N/Q/R/2/3/4/5/LIRR,EL700X,EL,Plaza entrance in front of Barclays Center to accessible passageway for access to Manhattan-bound 2/3 platform and rest of complex,Y,06/13/2026 07:24:00 AM,06/15/2026 08:00:00 AM,Repair,N,N
Whitehall St-South Ferry,,R/W/1,ES351,ES,R/W lower mezzanine to upper mezzanine for Water St & Whitehall St exit and uptown 1 service,N,06/13/2026 01:12:00 PM,06/13/2026 09:00:00 PM,Under Investigation,N,N
President St-Medgar Evers College,,2/5,ES304,ES,platform to mezzanine for President St & Nostrand Ave exit,N,06/13/2026 01:41:00 PM,06/13/2026 10:00:00 PM,Con Edison Power Issue,N,N
Euclid Av,,A/C,EL342,EL,mezzanine to Manhattan-bound platform,Y,06/13/2026 02:08:00 PM,06/13/2026 10:00:00 PM,Repair,N,N
West 8 St-NY Aquarium,,F/Q,ES335,ES,mezzanine (W 5 St & Brighton Ave) to Manhattan-bound Q platform,N,06/13/2026 02:26:00 PM,06/13/2026 11:00:00 PM,Under Investigation,N,N
Brighton Beach,,B/Q,ES346,ES,Brighton 7 St & Brighton Beach Ave (NE corner) to mezzanine,N,06/13/2026 02:26:00 PM,06/13/2026 11:00:00 PM,Under Investigation,N,N
Lexington Av/63 St,,F/M/Q,EL444,EL,3rd Ave & 63 St (NW corner) to mezzanine for service in both directions,Y,06/13/2026 02:41:00 PM,06/14/2026 06:00:00 AM,Under Investigation,N,N
New Dorp,,,EL787,EL,Near SE corner of New Dorp Ln and New Dorp Plaza for access to Tottenville-bound platform.,Y,06/15/2026 10:30:00 AM,06/15/2026 02:00:00 PM,Planned Work,Y,N
Atlantic Av-Barclays Ctr,,B/D/N/Q/R/2/3/4/5/LIRR,EL303,EL,mezzanine (4th Ave & Pacific St) to Manhattan-bound D/N/R platform,Y,06/15/2026 10:00:00 PM,06/16/2026 06:00:00 AM,Maintenance,Y,N
Atlantic Av-Barclays Ctr,,B/D/N/Q/R/2/3/4/5/LIRR,EL301,EL,4th Ave and Pacific St (NE corner) to mezzanine for D/N/R service in both directions and access to rest of complex via Brooklyn-bound 2/3 platform,Y,06/15/2026 10:00:00 PM,06/16/2026 06:00:00 AM,Maintenance,Y,N
Atlantic Av-Barclays Ctr,,B/D/N/Q/R/2/3/4/5/LIRR,EL302,EL,mezzanine (4th Ave & Pacific St) to Coney Island and Bay Ridge-bound D/N/R platform,Y,06/15/2026 10:00:00 PM,06/16/2026 06:00:00 AM,Maintenance,Y,N
175 St,,A,EL123,EL,177 St & Fort Washington Ave (NE corner) to mezzanine for service in both directions.,Y,06/15/2026 10:00:00 PM,06/16/2026 06:00:00 AM,Planned Work,Y,N
Canal St,,J/N/Q/R/W/6/Z,EL325,EL,Canal St & Lafayette St (NE corner) to downtown 6 platform,Y,06/15/2026 10:00:00 PM,06/16/2026 06:00:00 AM,Maintenance,Y,N
W 4 St-Wash Sq,,A/C/E/B/D/F/M,EL335,EL,uptown A/C/E platform to transfer mezzanine and uptown B/D/F/M platform,Y,06/16/2026 09:00:00 AM,06/16/2026 12:00:00 PM,Final Contract Items,Y,N
W 4 St-Wash Sq,,A/C/E/B/D/F/M,EL333,EL,W 3rd St & 6th Ave (NE corner) to mezzanine for A/C/E service and access to B/D/F/M service,Y,06/16/2026 09:00:00 AM,06/16/2026 12:00:00 PM,Final Contract Items,Y,N
W 4 St-Wash Sq,,A/C/E/B/D/F/M,EL334,EL,downtown A/C/E platform to transfer mezzanine and downtown B/D/F/M platform,Y,06/16/2026 09:00:00 AM,06/16/2026 12:00:00 PM,Final Contract Items,Y,N
Fordham Rd,,4,EL186,EL,Jerome Ave & Fordham Rd (SE corner) to mezzanine for service in both directions,Y,06/16/2026 10:00:00 PM,06/17/2026 06:00:00 AM,Maintenance,Y,N
Fordham Rd,,4,EL187,EL,mezzanine to Woodlawn-bound platform,Y,06/16/2026 10:00:00 PM,06/17/2026 06:00:00 AM,Maintenance,Y,N
Fordham Rd,,4,EL188,EL,mezzanine to Manhattan-bound platform,Y,06/16/2026 10:00:00 PM,06/17/2026 06:00:00 AM,Maintenance,Y,N
125 St,,A/C/B/D,EL144,EL,mezzanine to uptown platform,Y,06/16/2026 10:00:00 PM,06/17/2026 06:00:00 AM,Maintenance,Y,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL220,EL,mezzanine to downtown N/Q/R/W platform,Y,06/17/2026 09:00:00 AM,06/17/2026 12:00:00 PM,Final Contract Items,Y,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL219,EL,mezzanine to uptown N/Q/R/W platform,Y,06/17/2026 09:00:00 AM,06/17/2026 12:00:00 PM,Final Contract Items,Y,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL218,EL,mezzanine to L platform for service in both directions,Y,06/17/2026 09:00:00 AM,06/17/2026 12:00:00 PM,Final Contract Items,Y,N
Atlantic Av-Barclays Ctr,,B/D/N/Q/R/2/3/4/5/LIRR,EL305,EL,mezzanine to 4/5 platform for service in both directions,Y,06/17/2026 10:00:00 PM,06/18/2026 06:00:00 AM,Maintenance,Y,N
Coney Island-Stillwell Av,,D/F/N/Q,EL702,EL,D platform to overpass for access to mezzanine via N platform,Y,06/17/2026 10:00:00 PM,06/18/2026 06:00:00 AM,Maintenance,Y,N
Atlantic Av-Barclays Ctr,,B/D/N/Q/R/2/3/4/5/LIRR,EL304,EL,Brooklyn-bound 2/3 platform to mezzanine for access to rest of complex,Y,06/17/2026 10:00:00 PM,06/18/2026 06:00:00 AM,Maintenance,Y,N
14 St,,A/C/E/L,EL223,EL,mezzanine to uptown A/C/E platform,Y,06/18/2026 10:00:00 PM,06/19/2026 06:00:00 AM,Maintenance,Y,N
Times Sq-42 St,,A/C/E/N/Q/R/W/1/2/3/7/S,EL229,EL,mezzanine to downtown N/Q/R/W platform,Y,06/18/2026 10:00:00 PM,06/19/2026 06:00:00 AM,Maintenance,Y,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL217,EL,14 St and 4th Av (NE corner) to mezzanine for L/N/Q/R/W service in both directions.,Y,06/18/2026 10:00:00 PM,06/19/2026 06:00:00 AM,Maintenance,Y,N
Lexington Av/53 St,,E/F/6,EL245,EL,mezzanine to E/F platform for service in both directions,Y,06/18/2026 10:00:00 PM,06/19/2026 06:00:00 AM,Maintenance,Y,N
8 Av,,A/C/E/L,EL224,EL,mezzanine to L platform for service in both directions,Y,06/19/2026 10:00:00 PM,06/20/2026 06:00:00 AM,Maintenance,Y,N
14 St,,A/C/E/L,EL222,EL,mezzanine to downtown A/C/E platform,Y,06/19/2026 10:00:00 PM,06/20/2026 06:00:00 AM,Maintenance,Y,N
