station,borough,trainno,equipment,equipmenttype,serving,ADA,outagedate,estimatedreturntoservice,reason,isupcomingoutage,ismaintenanceoutage
W 4 St-Wash Sq,,A/C/E/B/D/F/M,EL335,EL,uptown A/C/E platform to transfer mezzanine and uptown B/D/F/M platform,Y,09/04/2026 09:00:00 AM,09/04/2026 01:00:00 PM,Inspection,Y,N
Times Sq-42 St,,A/C/E/N/Q/R/W/1/2/3/7/S,EL229,EL,mezzanine to downtown N/Q/R/W platform,Y,09/04/2026 09:00:00 AM,09/04/2026 01:00:00 PM,Inspection,Y,N
W 4 St-Wash Sq,,A/C/E/B/D/F/M,EL333,EL,W 3rd St & 6th Ave (NE corner) to mezzanine for A/C/E service and access to B/D/F/M service,Y,09/04/2026 09:00:00 AM,09/04/2026 01:00:00 PM,Inspection,Y,N
Times Sq-42 St,,A/C/E/N/Q/R/W/1/2/3/7/S,EL230,EL,mezzanine to uptown N/Q/R/W platform,Y,09/04/2026 09:00:00 AM,09/04/2026 01:00:00 PM,Inspection,Y,N
W 4 St-Wash Sq,,A/C/E/B/D/F/M,EL334,EL,downtown A/C/E platform to transfer mezzanine and downtown B/D/F/M platform,Y,09/04/2026 09:00:00 AM,09/04/2026 01:00:00 PM,Inspection,Y,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL219,EL,mezzanine to uptown N/Q/R/W platform,Y,09/03/2026 09:00:00 AM,09/03/2026 01:00:00 PM,Inspection,Y,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL220,EL,mezzanine to downtown N/Q/R/W platform,Y,09/03/2026 09:00:00 AM,09/03/2026 01:00:00 PM,Inspection,Y,N
14 St,,A/C/E/L,EL221,EL,8th Ave & 14 St (NW corner) to mezzanine for A/C/E/L service in both directions,Y,09/03/2026 09:00:00 AM,09/03/2026 01:00:00 PM,Inspection,Y,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL218,EL,mezzanine to L platform for service in both directions,Y,09/03/2026 09:00:00 AM,09/03/2026 01:00:00 PM,Inspection,Y,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL217,EL,14 St and 4th Av (NE corner) to mezzanine for L/N/Q/R/W service in both directions.,Y,09/03/2026 09:00:00 AM,09/03/2026 01:00:00 PM,Inspection,Y,N
8 Av,,A/C/E/L,EL224,EL,mezzanine to L platform for service in both directions,Y,09/03/2026 09:00:00 AM,09/03/2026 01:00:00 PM,Inspection,Y,N
Lexington Av/53 St,,E/F/6,EL245,EL,mezzanine to E/F platform for service in both directions,Y,09/02/2026 09:00:00 AM,09/02/2026 01:00:00 PM,Inspection,Y,N
74 St-Broadway,,E/F/M/R/7,EL423,EL,mezzanine to Manhattan-bound 7 platform,Y,09/02/2026 09:00:00 AM,09/02/2026 01:00:00 PM,Inspection,Y,N
74 St-Broadway,,E/F/M/R/7,EL420,EL,Roosevelt Av & 74 St (SE corner) to Flushing Mn St-bound 7 plat & E/F/M/R/7 mezzanines.,Y,09/02/2026 09:00:00 AM,09/02/2026 01:00:00 PM,Inspection,Y,N
175 St,,A,EL123,EL,177 St & Fort Washington Ave (NE corner) to mezzanine for service in both directions.,Y,09/01/2026 09:00:00 AM,09/01/2026 01:00:00 PM,Inspection,Y,N
175 St,,A,EL124,EL,Mezzanine to platform for service in both directions.,Y,09/01/2026 09:00:00 AM,09/01/2026 01:00:00 PM,Inspection,Y,N
125 St,,A/C/B/D,EL144,EL,mezzanine to uptown platform,Y,09/01/2026 09:00:00 AM,09/01/2026 01:00:00 PM,Inspection,Y,N
125 St,,A/C/B/D,EL142,EL,125 St & St Nicholas Ave (SW corner) to mezzanine for service in both directions,Y,09/01/2026 09:00:00 AM,09/01/2026 01:00:00 PM,Inspection,Y,N
125 St,,A/C/B/D,EL143,EL,Mezzanine to downtown platform,Y,09/01/2026 09:00:00 AM,09/01/2026 01:00:00 PM,Inspection,Y,N
DeKalb Av,,B/Q/R,EL370,EL,Dekalb Ave & Flatbush Ave (SW corner) and mezzanine for service in both directions,Y,08/30/2026 10:00:00 PM,08/31/2026 06:00:00 AM,Maintenance,Y,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,EL218,EL,mezzanine to L platform for service in both directions,Y,08/30/2026 10:00:00 PM,08/31/2026 06:00:00 AM,Maintenance,Y,N
DeKalb Av,,B/Q/R,EL371,EL,mezzanine to Manhattan-bound platform,Y,08/30/2026 10:00:00 PM,08/31/2026 06:00:00 AM,Maintenance,Y,N
DeKalb Av,,B/Q/R,EL372,EL,"mezzanine to Brighton Beach, Coney Island, and Bay Ridge-bound platform",Y,08/30/2026 10:00:00 PM,08/31/2026 06:00:00 AM,Maintenance,Y,N
74 St-Broadway,,E/F/M/R/7,EL420,EL,Roosevelt Av & 74 St (SE corner) to Flushing Mn St-bound 7 plat & E/F/M/R/7 mezzanines.,Y,08/29/2026 01:31:00 PM,08/29/2026 10:00:00 PM,Repair,N,N
W 4 St-Wash Sq,,A/C/E/B/D/F/M,EL334,EL,downtown A/C/E platform to transfer mezzanine and downtown B/D/F/M platform,Y,08/29/2026 12:35:00 PM,08/29/2026 09:00:00 PM,Under Investigation,N,N
125 St,,1,ES102,ES,125 St & Broadway (SW corner) to mezzanine,N,08/29/2026 12:29:00 PM,08/31/2026 10:00:00 PM,Under Investigation,N,N
Euclid Av,,A/C,EL343,EL,mezzanine to platform for Queens-bound A service and C terminal,Y,08/29/2026 11:52:00 AM,08/29/2026 08:00:00 PM,Under Investigation,N,N
34 St-Hudson Yards,,7,ES634,ES,upper mezzanine (Hudson Blvd E & 35 St) to lower mezzanine,N,08/29/2026 08:00:00 AM,08/29/2026 04:00:00 PM,Planned Work,N,N
145 St,,A/C/B/D,ES115,ES,uptown B/D platform to mezzanine for 147 St & St Nicholas Av exit,N,08/29/2026 07:30:00 AM,08/31/2026 06:00:00 AM,Planned Work,N,N
Sutphin Blvd-Archer Av-JFK Airport,,E/J/Z/LIRR,EL448X,EL,Sutphin Blvd & Archer Ave (SW intersection) to mezzanine for service in both directions,Y,08/29/2026 07:19:00 AM,08/31/2026 08:00:00 AM,Repair,N,N
Times Sq-42 St,,A/C/E/N/Q/R/W/1/2/3/7/S,ES267X,ES,42 St & 7th Ave (SE corner) to mezzanine for N/Q/R/W service and access to rest of complex,N,08/29/2026 07:04:00 AM,08/31/2026 08:00:00 AM,Repair,N,N
137 St-City College,,1,EL519,EL,Street (NE corner of Broadway and W 137 St) to uptown 1 platform.,Y,08/29/2026 02:55:00 AM,08/30/2026 02:00:00 PM,Repair,N,N
Aqueduct-Racetrack,,A,EL489X,EL,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan-bound platform,Y,08/28/2026 05:46:00 PM,08/31/2026 06:00:00 PM,Repair,N,N
Euclid Av,,A/C,EL342,EL,mezzanine to Manhattan-bound platform,Y,08/27/2026 10:39:00 AM,08/29/2026 07:00:00 PM,Repair,N,N
42St/Port Authority-Bus Terminal,,A/C/E/N/Q/R/W/1/2/3/7/S,ES606X,ES,A/C/E mezzanine to intermediate mezzanine for 42 St & 8th Ave exit,N,08/27/2026 07:36:00 AM,08/31/2026 08:00:00 AM,Repair,N,N
61 St-Woodside,,7/LIRR,EL415X,EL,Roosevelt Ave & 61 St (NE corner) to mezzanine for LIRR and 7 service in both directions,Y,08/26/2026 06:40:00 PM,08/31/2026 07:00:00 PM,Repair,N,N
59 St-Columbus Circle,,A/C/B/D/1,ES250X,ES,A/B/C/D mezzanine to 8th Ave & 58 St (NW corner),N,08/26/2026 07:06:00 AM,08/31/2026 08:00:00 AM,Repair,N,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,ES257X,ES,4/5/6 mezzanine to 14 St & 4th Ave (NE corner),N,08/25/2026 02:49:00 PM,08/31/2026 03:00:00 PM,Repair,N,N
14 St-Union Sq,,L/N/Q/R/W/4/5/6,ES258X,ES,14 St & 4th Ave (NE corner) to mezzanine for 4/5/6/L service and access to N/Q/R/W,N,08/24/2026 03:03:00 PM,08/31/2026 04:00:00 PM,Repair,N,N
42 St-Bryant Pk,,B/D/F/M/7,EL295X,EL,39 St & 6th Ave (NW corner) to mezzanine of B/D/F/M and passageway to 7 Line,N,08/24/2026 10:17:00 AM,08/31/2026 11:00:00 AM,Repair,N,N
3 Av-149 St,,2/5,EL129,EL,3rd Ave & 149 St (SW corner) to Bronx-bound platform,Y,08/21/2026 12:29:00 AM,08/29/2026 10:00:00 PM,Repair,N,N
42St/Port Authority-Bus Terminal,,A/C/E/N/Q/R/W/1/2/3/7/S,ES607X,ES,A/C/E intermediate mezzanine to 42 St & 8th Ave (SE corner),N,08/19/2026 12:14:00 PM,08/31/2026 01:00:00 PM,Repair,N,N
34 St-Penn Station,,A/C/E,EL228,EL,Penn Station concourse to downtown C/E platform,Y,08/14/2026 05:42:00 AM,08/29/2026 10:00:00 PM,Planned Work,N,N
34 St-Penn Station,,A/C/E,EL225,EL,34 St & 8th Ave (SE corner) to uptown C/E platform and access to rest of complex,Y,08/14/2026 12:10:00 AM,08/31/2026 11:00:00 PM,Planned Work,N,N
Court Sq,,E/F/G/7,EL445X,EL,Flushing-bound 7 platform to mezzanine to EFG transfer.,Y,07/31/2026 09:45:00 PM,09/03/2026 10:00:00 PM,Repair,N,N
Court Sq,,E/F/G/7,ES462X,ES,7 upper mezzanine (Jackson Ave & 23rd St) to lower mezzanine for G service and access to E/F,N,07/31/2026 09:45:00 PM,09/03/2026 10:00:00 PM,Repair,N,N
Court Sq,,E/F/G/7,ES461X,ES,G lower mezzanine to upper mezzanine for 7 service and Jackson Ave & 23rd St exit,N,07/31/2026 09:45:00 PM,09/03/2026 10:00:00 PM,Repair,N,N
161 St-Yankee Stadium,,B/D/4,EL131,EL,161 St & River Ave (NE corner) to mezzanine to reach 4/B/D service in both directions,Y,07/20/2026 10:52:00 AM,01/31/2027 11:00:00 PM,Con Edison Power Issue,N,N
3 Av-149 St,,2/5,EL130,EL,Melrose Ave & 149 St (NW corner) to Manhattan-bound platform,Y,07/16/2026 08:05:00 PM,08/31/2026 09:00:00 PM,Planned Work,N,N
161 St-Yankee Stadium,,B/D/4,EL134,EL,mezzanine to Manhattan-bound B/D platform,Y,06/29/2026 04:36:00 PM,01/31/2027 11:00:00 PM,Con Edison Power Issue,N,N
161 St-Yankee Stadium,,B/D/4,EL135,EL,Mezzanine to B/D platform for Bedford Pk Blvd and Norwood 205 St-bound service.,Y,06/29/2026 09:57:00 AM,01/31/2027 11:00:00 PM,Con Edison Power Issue,N,N
Jamaica Center-Parsons/Archer,,E/J/Z,ES438,ES,mezzanine to Parsons Blvd & Archer Ave (SW corner),N,05/28/2026 06:45:00 AM,10/31/2026 11:59:00 PM,Station is Under Rehabilitation,N,N
5 Av/53 St,,E/F,ES241,ES,downtown platform to mezzanine for Madison Ave & 53 St exit,N,04/20/2026 11:10:00 PM,12/31/2026 11:59:00 PM,Capital Replacement,N,N
Atlantic Av-Barclays Ctr,,B/D/N/Q/R/2/3/4/5/LIRR,EL306,EL,Manhattan-bound 2/3 platform to mezzanine for access to rest of complex,Y,04/04/2026 08:30:00 AM,09/30/2026 11:59:00 PM,Capital Replacement,N,N
Lexington Av/63 St,,F/M/Q,ES404,ES,intermediate mezzanine to upper mezzanine for Lexington Ave & 63 St exit,N,04/04/2026 08:02:00 AM,12/31/2026 11:59:00 PM,Capital Replacement,N,N
Atlantic Av-Barclays Ctr,,B/D/N/Q/R/2/3/4/5/LIRR,EL307,EL,mezzanine to B/Q platform for service in both directions,Y,04/04/2026 07:30:00 AM,09/30/2026 11:59:00 PM,Capital Replacement,N,N
Lexington Av/63 St,,F/M/Q,ES406,ES,lower mezzanine to intermediate mezzanine for Lexington Ave & 63 St exit,N,03/26/2026 05:00:00 AM,11/30/2026 11:59:00 PM,Capital Replacement,N,N
