InputID,TargetID,Distance
POINT (-73.917757 40.816109),POINT (-73.925651 40.827905),1469.50924214598
POINT (-73.911586 40.699814),POINT (-73.912385 40.69943),79.8651868043338
POINT (-73.940202 40.750582),POINT (-73.940202 40.750582),0
POINT (-73.807969 40.700486),POINT (-73.801109 40.702147),608.399190446111
POINT (-73.831008 40.714441),POINT (-73.844521 40.721691),1397.0612009681
POINT (-73.94077 40.814229),POINT (-73.937594 40.804138),1152.2050261582
POINT (-73.989998 40.693219),POINT (-73.990151 40.692404),91.423385727189
POINT (-73.835592 40.580903),POINT (-73.796924 40.590927),3457.68679162871
POINT (-73.946 40.747846),POINT (-73.945264 40.747023),110.528364043883
POINT (-73.901034 40.862803),POINT (-73.893509 40.866978),785.770463481117
POINT (-73.957624 40.674772),POINT (-73.955827 40.680596),664.346334222973
POINT (-73.867615 40.857192),POINT (-73.873488 40.841894),1769.57329956287
POINT (-73.939561 40.840719),POINT (-73.939704 40.847391),741.029706828249
POINT (-73.801109 40.702147),POINT (-73.807969 40.700486),608.399190446111
POINT (-73.925536 40.860531),POINT (-73.919899 40.868072),962.88959061656
POINT (-73.891338 40.746644),POINT (-73.891394 40.746848),23.1424372878098
POINT (-73.957734 40.60867),POINT (-73.961639 40.62927),2311.30084859438
POINT (-73.955589 40.779492),POINT (-73.951787 40.777891),366.903320053405
POINT (-73.917843 40.770258),POINT (-73.906006 40.752885),2172.79066000586
POINT (-73.857473 40.893193),POINT (-73.866256 40.87785),1857.71629830607
POINT (-73.937594 40.804138),POINT (-73.94077 40.814229),1152.2050261582
POINT (-73.825798 40.685951),POINT (-73.835919 40.672097),1760.3920245086
POINT (-73.902984 40.74563),POINT (-73.906006 40.752885),845.118705748982
POINT (-73.904834 40.878856),POINT (-73.893509 40.866978),1628.28643431075
POINT (-73.972323 40.793919),POINT (-73.98197 40.778453),1900.74369053551
POINT (-73.956848 40.68138),POINT (-73.955827 40.680596),122.596690745383
POINT (-74.011719 40.635064),POINT (-74.017881 40.641362),872.261987990928
POINT (-73.977666 40.684359),POINT (-73.97689 40.68446),66.5512275278495
POINT (-73.947642 40.632836),POINT (-73.961639 40.62927),1248.63856610272
POINT (-73.940202 40.750582),POINT (-73.940202 40.750582),0
POINT (-73.941126 40.70026),POINT (-73.94067 40.711926),1296.06167781622
POINT (-73.905227 40.85041),POINT (-73.901034 40.862803),1420.94150551849
POINT (-73.956872 40.717304),POINT (-73.951418 40.712792),680.755861289051
POINT (-73.95326 40.759145),POINT (-73.958424 40.768799),1157.34552047964
POINT (-73.851576 40.693879),POINT (-73.835919 40.672097),2757.30063364195
