,GTFS Stop ID,Station ID,Complex ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference
244,H06,204,204,IND,Rockaway,Beach 67 St,Q,False,A,Viaduct,40.590927,-73.796924,Manhattan,Far Rockaway,1,1,1,,POINT (-73.796924 40.590927)
246,F11,275,612,IND,Queens Blvd,Lexington Av/53 St,M,True,E M,Subway,40.757552,-73.969055,Queens,Downtown,1,1,1,,POINT (-73.969055 40.757552)
247,D26,42,42,BMT,Broadway - Brighton,Prospect Park,Bk,False,B Q S,Open Cut,40.661614,-73.962246,Northbound,Southbound,1,1,1,,POINT (-73.962246 40.661614)
252,R16,11,611,BMT,Broadway - Brighton,Times Sq-42 St,M,True,N Q R W,Subway,40.754672,-73.986754,Uptown,Downtown,1,1,1,,POINT (-73.986754 40.754672)
255,A06,146,146,IND,8th Av - Fulton St,181 St,M,False,A,Subway,40.851695,-73.937969,Uptown,Downtown,1,1,1,,POINT (-73.937969 40.851695)
260,A48,181,181,IND,8th Av - Fulton St,Utica Av,Bk,False,A C,Subway,40.679364,-73.930729,Manhattan,Outbound,1,1,1,,POINT (-73.930729 40.679364)
261,Q03,477,477,IND,Second Av,72 St,M,False,Q,Subway,40.768799,-73.958424,Uptown,Downtown,1,1,1,,POINT (-73.958424 40.768799)
265,R41,35,35,BMT,4th Av,59 St,Bk,False,N R,Subway,40.641362,-74.017881,Manhattan,Southbound,1,1,1,,POINT (-74.017881 40.641362)
266,A38,172,628,IND,8th Av - Fulton St,Fulton St,M,True,A C,Subway,40.710197,-74.007691,Uptown,Brooklyn,1,1,1,,POINT (-74.007691 40.710197)
268,D11,219,604,IND,Concourse,161 St-Yankee Stadium,Bx,False,B D,Subway,40.827905,-73.925651,Northbound,Manhattan,1,1,1,,POINT (-73.925651 40.827905)
270,D32,48,48,BMT,Broadway - Brighton,Avenue H,Bk,False,Q,Open Cut,40.62927,-73.961639,Manhattan,Southbound,1,1,1,,POINT (-73.961639 40.62927)
273,D21,230,619,IND,6th Av - Culver,Broadway-Lafayette St,M,True,B D F M,Subway,40.725297,-73.996204,Uptown,Downtown,1,1,1,,POINT (-73.996204 40.725297)
281,B16,63,615,BMT,West End,62 St,Bk,False,D,Elevated,40.626472,-73.996895,Manhattan,Southbound,1,1,1,,POINT (-73.996895 40.626472)
286,M22,106,628,BMT,Jamaica,Fulton St,M,True,J Z,Subway,40.710374,-74.007582,Brooklyn,Downtown,1,1,1,,POINT (-74.007582 40.710374)
288,L12,123,123,BMT,Canarsie,Grand St,Bk,False,L,Subway,40.711926,-73.94067,Manhattan,Outbound,1,1,1,,POINT (-73.94067 40.711926)
289,902,468,611,IRT,Lexington - Shuttle,Times Sq-42 St,M,True,S,Subway,40.755983,-73.986229,Last Stop,Grand Central,1,1,1,,POINT (-73.986229 40.755983)
292,701,447,447,IRT,Flushing,Flushing-Main St,Q,False,7,Subway,40.7596,-73.83003,Last Stop,Manhattan,1,1,1,,POINT (-73.83003 40.7596)
