InputID,TargetID,Distance
POINT (-73.947152 40.784318),POINT (-73.95107 40.785672),363.287742229561
POINT (-74.075162 40.627915),POINT (-74.071402 40.621319),798.569876498653
POINT (-73.895877 40.706186),POINT (-73.903077 40.704423),639.184414114406
POINT (-73.939892 40.836013),POINT (-73.940133 40.840556),504.913003091355
POINT (-73.981824 40.690635),POINT (-73.980492 40.688246),288.197282612053
POINT (-73.968379 40.799446),POINT (-73.966847 40.803967),518.435252158856
POINT (-73.942836 40.754203),POINT (-73.940202 40.750582),459.533253780485
POINT (-73.942836 40.754203),POINT (-73.940202 40.750582),459.533253780485
POINT (-73.854376 40.898379),POINT (-73.857473 40.893193),632.287149170092
POINT (-73.84433 40.695178),POINT (-73.851576 40.693879),629.208084597919
POINT (-73.903097 40.675345),POINT (-73.90324 40.678856),390.075774746955
POINT (-73.985942 40.69218),POINT (-73.987342 40.692338),119.629075975613
POINT (-73.980492 40.688246),POINT (-73.981824 40.690635),288.197282612053
POINT (-73.901975 40.669367),POINT (-73.900571 40.664038),603.562947349943
POINT (-73.97689 40.68446),POINT (-73.977666 40.684359),66.5512275278495
POINT (-73.847036 40.836488),POINT (-73.851222 40.834255),431.447492351319
POINT (-73.979678 40.644041),POINT (-73.975776 40.650782),818.09555985363
POINT (-73.975939 40.576127),POINT (-73.974574 40.581011),554.524981616231
POINT (-73.973022 40.608944),POINT (-73.972361 40.603217),638.417978920042
POINT (-73.925831 40.827994),POINT (-73.925651 40.827905),18.1170277579499
POINT (-73.93647 40.82388),POINT (-73.936245 40.820421),384.592267762293
POINT (-73.776013 40.592943),POINT (-73.768175 40.595398),717.304713614772
POINT (-73.896736 40.822181),POINT (-73.893064 40.824073),374.301862206617
POINT (-73.85062 40.903125),POINT (-73.854376 40.898379),614.774383614415
POINT (-73.836345 40.697418),POINT (-73.84433 40.695178),719.275236523982
POINT (-73.783817 40.712646),POINT (-73.793604 40.71047),861.589508115452
POINT (-73.896435 40.816104),POINT (-73.896736 40.822181),675.330961207948
POINT (-73.966847 40.803967),POINT (-73.96411 40.807722),476.678571595809
POINT (-73.851222 40.834255),POINT (-73.847036 40.836488),431.447492351319
POINT (-73.993728 40.601875),POINT (-73.998168 40.604556),479.430299079283
POINT (-73.94425 40.79502),POINT (-73.941617 40.798629),458.257548847272
POINT (-73.820558 40.585307),POINT (-73.827559 40.583209),636.858883997125
POINT (-73.938209 40.830135),POINT (-73.941514 40.830518),282.004496435559
POINT (-74.191794 40.533674),POINT (-74.200064 40.525507),1146.07310341465
POINT (-73.894895 40.664635),POINT (-73.889395 40.665449),473.781135765978
POINT (-73.918435 40.743132),POINT (-73.924016 40.743781),476.852185911955
POINT (-73.873488 40.841894),POINT (-73.880049 40.840295),581.128516626265
POINT (-73.907684 40.853453),POINT (-73.905227 40.85041),396.383616562014
POINT (-73.951787 40.777891),POINT (-73.955589 40.779492),366.903320053405
POINT (-73.950308 40.706092),POINT (-73.953431 40.70687),277.697724738385
POINT (-73.866256 40.87785),POINT (-73.867164 40.871356),725.218622358836
POINT (-73.955161 40.595246),POINT (-73.955929 40.5993),454.850444101635
